Fecha numérica,Fecha,TRM Proyectada,TRM Proyectada Sup,TRM Proyectada Inf
738662,2023-05-22,4309.508556874818,4478.45771065404,4186.979165909494
738663,2023-05-23,4310.235073102056,4479.212709085265,4187.685025583978
738664,2023-05-24,4310.96158932941,4479.96770751661,4188.3908852585755
738665,2023-05-25,4311.688105556648,4480.722705947835,4189.096744933059
738666,2023-05-26,4312.4146217840025,4481.47770437918,4189.802604607656
738667,2023-05-27,4313.14113801124,4482.232702810405,4190.508464282139
738668,2023-05-28,4313.867654238478,4482.987701241629,4191.214323956623
738669,2023-05-29,4314.594170465833,4483.742699672975,4191.9201836312195
738670,2023-05-30,4315.3206866930705,4484.497698104199,4192.626043305703
738671,2023-05-31,4316.047202920308,4485.252696535424,4193.331902980187
738672,2023-06-01,4316.773719147663,4486.007694966769,4194.037762654783
738673,2023-06-02,4317.5002353749005,4486.762693397994,4194.743622329267
738674,2023-06-03,4318.226751602255,4487.517691829338,4195.449482003864
738675,2023-06-04,4318.953267829493,4488.272690260563,4196.155341678348
738676,2023-06-05,4319.679784056731,4489.027688691787,4196.861201352831
738677,2023-06-06,4320.406300284085,4489.782687123133,4197.567061027428
738678,2023-06-07,4321.132816511323,4490.537685554357,4198.272920701912
738679,2023-06-08,4321.859332738677,4491.292683985703,4198.978780376508
738680,2023-06-09,4322.585848965915,4492.047682416927,4199.684640050992
738681,2023-06-10,4323.312365193153,4492.802680848152,4200.390499725476
738682,2023-06-11,4324.038881420507,4493.557679279497,4201.096359400072
738683,2023-06-12,4324.765397647745,4494.312677710722,4201.802219074556
738684,2023-06-13,4325.491913874983,4495.067676141946,4202.50807874904
738685,2023-06-14,4326.218430102337,4495.822674573291,4203.213938423637
738686,2023-06-15,4326.944946329575,4496.577673004515,4203.919798098121
738687,2023-06-16,4327.671462556929,4497.332671435861,4204.625657772717
738688,2023-06-17,4328.397978784167,4498.087669867085,4205.331517447201
738689,2023-06-18,4329.124495011405,4498.84266829831,4206.037377121685
738690,2023-06-19,4329.851011238759,4499.597666729655,4206.743236796281
738691,2023-06-20,4330.577527465997,4500.35266516088,4207.449096470765
738692,2023-06-21,4331.304043693352,4501.107663592225,4208.154956145361
738693,2023-06-22,4332.030559920589,4501.86266202345,4208.860815819845
738694,2023-06-23,4332.757076147827,4502.6176604546745,4209.566675494329
738695,2023-06-24,4333.483592375182,4503.37265888602,4210.272535168926
738696,2023-06-25,4334.2101086024195,4504.1276573172445,4210.97839484341
738697,2023-06-26,4334.936624829657,4504.882655748468,4211.684254517892
738698,2023-06-27,4335.663141057012,4505.637654179814,4212.39011419249
738699,2023-06-28,4336.38965728425,4506.392652611038,4213.0959738669735
738700,2023-06-29,4337.116173511604,4507.147651042384,4213.80183354157
738701,2023-06-30,4337.842689738842,4507.902649473608,4214.507693216054
738702,2023-07-01,4338.56920596608,4508.657647904833,4215.213552890537
738703,2023-07-02,4339.295722193434,4509.412646336178,4215.919412565134
738704,2023-07-03,4340.022238420672,4510.167644767403,4216.6252722396175
738705,2023-07-04,4340.748754648026,4510.922643198748,4217.331131914215
738706,2023-07-05,4341.475270875264,4511.677641629973,4218.036991588699
738707,2023-07-06,4342.201787102502,4512.432640061197,4218.742851263182
738708,2023-07-07,4342.928303329856,4513.187638492542,4219.448710937779
738709,2023-07-08,4343.654819557094,4513.942636923766,4220.154570612262
738710,2023-07-09,4344.381335784332,4514.697635354991,4220.860430286746
738711,2023-07-10,4345.107852011686,4515.452633786336,4221.566289961343
738712,2023-07-11,4345.834368238924,4516.207632217561,4222.272149635826
738713,2023-07-12,4346.560884466278,4516.962630648906,4222.978009310423
738714,2023-07-13,4347.287400693516,4517.717629080131,4223.683868984906
738715,2023-07-14,4348.013916920754,4518.472627511355,4224.38972865939
738716,2023-07-15,4348.740433148108,4519.227625942701,4225.0955883339875
738717,2023-07-16,4349.466949375346,4519.982624373925,4225.801448008471
738718,2023-07-17,4350.193465602701,4520.737622805271,4226.507307683068
738719,2023-07-18,4350.9199818299385,4521.492621236494,4227.213167357551
738720,2023-07-19,4351.646498057176,4522.247619667719,4227.919027032035
738721,2023-07-20,4352.373014284531,4523.002618099064,4228.6248867066315
738722,2023-07-21,4353.0995305117685,4523.757616530289,4229.330746381115
738723,2023-07-22,4353.826046739006,4524.5126149615135,4230.036606055599
738724,2023-07-23,4354.552562966361,4525.267613392859,4230.742465730195
738725,2023-07-24,4355.279079193599,4526.0226118240835,4231.448325404679
738726,2023-07-25,4356.005595420953,4526.777610255429,4232.154185079276
738727,2023-07-26,4356.732111648191,4527.5326086866535,4232.86004475376
738728,2023-07-27,4357.458627875429,4528.287607117878,4233.565904428244
738729,2023-07-28,4358.185144102783,4529.0426055492235,4234.27176410284
738730,2023-07-29,4358.911660330021,4529.797603980448,4234.977623777324
738731,2023-07-30,4359.638176557375,4530.552602411793,4235.68348345192
738732,2023-07-31,4360.364692784613,4531.307600843017,4236.389343126404
738733,2023-08-01,4361.091209011851,4532.062599274242,4237.095202800888
738734,2023-08-02,4361.817725239205,4532.817597705587,4237.801062475484
738735,2023-08-03,4362.544241466443,4533.572596136812,4238.506922149968
738736,2023-08-04,4363.270757693681,4534.327594568036,4239.212781824452
738737,2023-08-05,4363.997273921035,4535.082592999382,4239.918641499049
738738,2023-08-06,4364.723790148273,4535.837591430606,4240.624501173533
738739,2023-08-07,4365.450306375627,4536.592589861952,4241.330360848129
738740,2023-08-08,4366.176822602865,4537.347588293176,4242.036220522613
738741,2023-08-09,4366.903338830103,4538.102586724401,4242.742080197097
738742,2023-08-10,4367.6298550574575,4538.857585155745,4243.447939871693
738743,2023-08-11,4368.356371284695,4539.61258358697,4244.153799546177
738744,2023-08-12,4369.08288751205,4540.367582018315,4244.859659220773
738745,2023-08-13,4369.8094037392875,4541.12258044954,4245.565518895257
738746,2023-08-14,4370.535919966525,4541.877578880764,4246.271378569741
738747,2023-08-15,4371.26243619388,4542.63257731211,4246.977238244338
